Date,Time,Transaction Details,Transaction ID,UTR No,Type,Amount,Category,Year,Month
"Jun 11, 2024",06:47 PM,Paid to Manu,T2406111847220747343781,416316934150,Debit,204.0,Personal Transfers,2024,2024-06
"Jun 12, 2024",11:44 AM,Paid to ARCHANA C,T2406121144156972091544,416480831695,Debit,600.0,Personal Transfers,2024,2024-06
"Jun 13, 2024",08:06 PM,Paid to TAMIZHVANAN R,T2406132006359375165797,416584642597,Debit,291.0,Personal Transfers,2024,2024-06
"Jun 14, 2024",12:22 PM,Paid to Bakery Fressh & Crissp,T2406141222391003201756,453275457054,Debit,90.0,Food & Dining,2024,2024-06
"Jun 16, 2024",02:31 PM,Paid to Shri Balaji Agencies,T2406161431127379127437,416855521009,Debit,70.0,Personal Transfers,2024,2024-06
"Jun 17, 2024",08:59 AM,Paid to **\*\***9871,T2406170859475657076313,416915084446,Debit,500.0,Personal Transfers,2024,2024-06
"Jun 17, 2024",09:45 AM,Paid to DIVYA JUICE CENTRE,T2406170945031551626165,453539871688,Debit,140.0,Food & Dining,2024,2024-06
"Jun 17, 2024",12:57 PM,Paid to VIGNESHRAM RAJARAM,T2406171257507326986450,416925676356,Debit,130.0,Personal Transfers,2024,2024-06
"Jun 17, 2024",01:06 PM,Paid to GUINDY,T2406171306448718164408,416973245841,Debit,30.0,Personal Transfers,2024,2024-06
"Jun 18, 2024",07:20 PM,Paid to **\*\***7948,T2406181919575736874787,417034318868,Debit,40.0,Personal Transfers,2024,2024-06
"Jun 19, 2024",07:40 PM,Paid to Krishna Mobile Shop,T2406191940077989836785,417163136020,Debit,70.0,Personal Transfers,2024,2024-06
"Jun 19, 2024",08:03 PM,Paid to Kishan Kumar,T2406192003314754359202,417170857378,Debit,40.0,Personal Transfers,2024,2024-06
"Jun 19, 2024",08:14 PM,Paid to YASH ANAND FUEL SERVICE,T2406192014197214359326,417115059766,Debit,100.0,Transport & Fuel,2024,2024-06
"Jun 20, 2024",05:54 PM,Paid to CHHEDI SAO,T2406201754449385484033,417217466940,Debit,20.0,Personal Transfers,2024,2024-06
"Jun 21, 2024",08:15 PM,Paid to Hungry Heist & Hello Momo,T2406212015286505261585,453918813514,Debit,120.0,Food & Dining,2024,2024-06
"Jun 25, 2024",07:21 PM,Paid to KRISHNA PETROLEUM-KRISHNA PETROLEUM,T2406251921344672756748,454374019596,Debit,100.0,Transport & Fuel,2024,2024-06
"Jun 26, 2024",08:58 PM,Paid to SAGER ENTERPRISE,AC222406262058080446893268,454482256199,Debit,460.0,Personal Transfers,2024,2024-06
"Jun 27, 2024",06:55 PM,Paid to TANNU BATATA PURI,T2406271855469789912610,454547343671,Debit,50.0,Personal Transfers,2024,2024-06
"Jun 27, 2024",11:37 PM,Paid to GOOGLE INDIA DIGITAL SERVICES PVT LTD,AXI54fa8930683e44f28ecb3aeae75d01b5,417957418795,Debit,254.99,Subscriptions & Digital,2024,2024-06
"Jun 29, 2024",02:15 PM,Paid to kalluri mallikarjuna,T2406291415375578145714,454757780724,Debit,2000.0,Personal Transfers,2024,2024-06
"Jul 01, 2024",09:05 PM,Paid to Sri Vinayaka Watch works and Book Stores,AC222407012105371402523236,454967915235,Debit,30.0,Food & Dining,2024,2024-07
"Jul 01, 2024",09:27 PM,Paid to S CHETHANA,T2407012127408597935545,418395995342,Debit,140.0,Personal Transfers,2024,2024-07
"Jul 02, 2024",01:37 PM,Paid to ANTHONY S,T2407021337454018479626,418400815409,Debit,130.0,Personal Transfers,2024,2024-07
"Jul 02, 2024",01:59 PM,Paid to RAVI KUMAR E,T2407021359195626477224,418479318093,Debit,14.0,Personal Transfers,2024,2024-07
"Jul 02, 2024",09:22 PM,Paid to INDRAJIT SATYENDRA PRASAD,T2407022122086532100034,418467357374,Debit,1.0,Personal Transfers,2024,2024-07
"Jul 02, 2024",09:46 PM,Paid to kalluri mallikarjuna,T2407022146214920605666,455087212730,Debit,3500.0,Personal Transfers,2024,2024-07
"Jul 02, 2024",09:59 PM,Paid to Jio Prepaid Recharges,T2407022159280520853901,418400057037,Debit,155.0,Mobile Recharge,2024,2024-07
"Jul 02, 2024",10:00 PM,Paid to Jio Prepaid Recharges,T2407022200552706461956,418468701532,Debit,155.0,Mobile Recharge,2024,2024-07
"Jul 02, 2024",10:02 PM,Paid to Jio Prepaid Recharges,T2407022202198816461110,418484051563,Debit,155.0,Mobile Recharge,2024,2024-07
"Jul 02, 2024",10:04 PM,Paid to Jio Prepaid Recharges,T2407022204187312953877,418426770983,Debit,155.0,Mobile Recharge,2024,2024-07
"Jul 02, 2024",10:07 PM,Paid to Jio Prepaid Recharges,T2407022206599658479965,418447959540,Debit,155.0,Mobile Recharge,2024,2024-07
"Jul 02, 2024",10:07 PM,Paid to Jio Prepaid Recharges,T2407022207366280782375,418421340017,Debit,155.0,Mobile Recharge,2024,2024-07
"Jul 05, 2024",01:09 PM,Paid to VIMALESH KUMAR,T2407051309502312329539,418755048134,Debit,30.0,Personal Transfers,2024,2024-07
"Jul 06, 2024",05:39 PM,Paid to kalluri mallikarjuna,T2407061739279478217257,455488797577,Debit,3500.0,Personal Transfers,2024,2024-07
"Jul 09, 2024",01:52 PM,Paid to NARYANSHETY KRISHNA,T2407091352031794306484,419180043669,Debit,60.0,Personal Transfers,2024,2024-07
"Jul 13, 2024",08:53 PM,Paid to Sport Store,T2407132053531031814633,456176600906,Debit,60.0,Personal Transfers,2024,2024-07
"Jul 14, 2024",06:22 PM,Paid to RAZORPAY,OM2407141820459208658970D,456272603534,Debit,1.0,Subscriptions & Digital,2024,2024-07
"Jul 14, 2024",08:34 PM,Paid to ZEPTO,T2407142034326771151501,419670913338,Debit,402.0,Shopping & E-Commerce,2024,2024-07
"Jul 15, 2024",01:44 PM,Paid to ANTHONY S,T2407151344152841710364,419789157742,Debit,140.0,Personal Transfers,2024,2024-07
"Jul 16, 2024",10:03 PM,Paid to Syad Ashraf,T2407162203073479309320,456440353442,Debit,160.0,Personal Transfers,2024,2024-07
"Jul 17, 2024",09:16 PM,Paid to Mr PRABHAKARAN C,T2407172116508770847886,419916238397,Debit,30.0,Personal Transfers,2024,2024-07
"Jul 17, 2024",09:36 PM,Paid to CHIRUS BIRYANI,T2407172136303460697800,419970632475,Debit,80.0,Food & Dining,2024,2024-07
"Jul 20, 2024",09:39 AM,Paid to Indian Railways Catering and Tourism Corp Ltd,OM2407200939079633891444D,456890701623,Debit,2379.05,Travel & Stays,2024,2024-07
"Jul 21, 2024",12:04 PM,Paid to VARA LAKSHMI B,T2407211204500219030585,420365999442,Debit,20.0,Personal Transfers,2024,2024-07
"Jul 21, 2024",12:06 PM,Paid to VARA LAKSHMI B,T2407211206052502092266,420379732680,Debit,20.0,Personal Transfers,2024,2024-07
"Jul 23, 2024",01:42 PM,Paid to HARISP,T2407231341589616150111,420564423830,Debit,17.0,Personal Transfers,2024,2024-07
"Jul 26, 2024",09:22 PM,Paid to Srujan Samal,T2407262121546479802062,457417430818,Debit,200.0,Personal Transfers,2024,2024-07
"Jul 27, 2024",10:13 PM,Paid to RAGHAVENDRA SHETTY S O NANDYAPPA,T2407272213128217528907,420911117502,Debit,65.0,Personal Transfers,2024,2024-07
"Jul 28, 2024",04:08 PM,Paid to Jio Prepaid Recharges,T2407281608483339758836,421087467198,Debit,69.0,Mobile Recharge,2024,2024-07
"Jul 28, 2024",08:52 PM,Paid to C P NAVAS,T2407282052123903764591,421022921403,Debit,15.0,Personal Transfers,2024,2024-07
"Jul 28, 2024",09:21 PM,Paid to arokia dass,T2407282121229140355843,457691484777,Debit,170.0,Personal Transfers,2024,2024-07
"Jul 29, 2024",01:39 PM,Paid to Srujan Samal,T2407291338598728085592,457787005008,Debit,50.0,Personal Transfers,2024,2024-07
"Aug 01, 2024",08:43 AM,Paid to ARADHANA SAROJ,T2408010843465807344784,421445914378,Debit,5.0,Personal Transfers,2024,2024-08
"Aug 01, 2024",01:33 PM,Paid to Gaythri Hotel,AC222408011333446457560126,458004086557,Debit,65.0,Food & Dining,2024,2024-08
"Aug 02, 2024",12:37 PM,Paid to Y V Tea Stall,AC222408021237238085413578,458101602909,Debit,20.0,Food & Dining,2024,2024-08
"Aug 02, 2024",02:24 PM,Paid to Hassan Iyangar Bakery,AC222408021424104077635663,458136533030,Debit,80.0,Food & Dining,2024,2024-08
"Aug 02, 2024",02:32 PM,Paid to Pappu Nishad,AC222408021432217851620427,458177512318,Debit,25.0,Food & Dining,2024,2024-08
"Aug 02, 2024",02:56 PM,Paid to Balaji gents parlour,AC222408021455587117635940,458181740146,Debit,100.0,Personal Care,2024,2024-08
"Aug 02, 2024",06:37 PM,Paid to KukuFM,OMA2408021836496942771221D,421554996311,Debit,359.0,Subscriptions & Digital,2024,2024-08
"Aug 04, 2024",08:32 PM,Paid to RAMBALI GUPTA,T2408042032483918423458,421747144697,Debit,60.0,Personal Transfers,2024,2024-08
"Aug 06, 2024",07:58 PM,Paid to Aruna,T2408061958277810026945,421928900668,Debit,7000.0,Personal Transfers,2024,2024-08
"Aug 06, 2024",09:34 PM,Paid to Y V Tea Stall,AC222408062133587528589287,458555879957,Debit,10.0,Food & Dining,2024,2024-08
"Aug 06, 2024",09:42 PM,Paid to Y V Tea Stall,AC222408062141503410758185,458532506799,Debit,10.0,Food & Dining,2024,2024-08
"Aug 08, 2024",02:21 PM,Paid to soubhagya prusty,T2408081421061596656735,867945327080,Debit,50.0,Personal Transfers,2024,2024-08
"Aug 08, 2024",06:57 PM,Paid to Sri Brahmalingeswara juice and condiments,T2408081857378683486010,422157277560,Debit,42.0,Food & Dining,2024,2024-08
"Aug 08, 2024",06:59 PM,Paid to Sri Brahmalingeswara juice and condiments,T2408081859426352672605,422132395024,Debit,42.0,Food & Dining,2024,2024-08
"Aug 08, 2024",11:43 PM,Paid to purti jain,T2408082343073713450364,458715427295,Debit,799.0,Personal Transfers,2024,2024-08
"Aug 09, 2024",09:23 PM,Paid to CHIRUS BIRYANI,T2408092123350921711975,422285805382,Debit,155.0,Food & Dining,2024,2024-08
"Aug 12, 2024",01:42 PM,Paid to soubhagya prusty,T2408121342053918428707,609581647782,Debit,100.0,Personal Transfers,2024,2024-08
"Aug 13, 2024",06:43 PM,Paid to **\*\***4684,T2408131843304975610881,146196078555,Debit,5.0,Personal Transfers,2024,2024-08
"Aug 13, 2024",06:54 PM,Paid to Y V Tea Stall,AC222408131854393407092347,459220176388,Debit,10.0,Food & Dining,2024,2024-08
"Aug 14, 2024",05:30 PM,Paid to TESTBOOK COM,T2408141730274423118643,422713067564,Debit,307.0,Subscriptions & Digital,2024,2024-08
"Aug 14, 2024",10:55 PM,Paid to Juice Bar,T2408142255439665743421,422743444418,Debit,40.0,Food & Dining,2024,2024-08
"Aug 17, 2024",09:04 PM,Paid to Saumik Keshari,T2408172104382809001904,861939597253,Debit,60.0,Personal Transfers,2024,2024-08
"Aug 19, 2024",01:36 PM,Paid to JUHI KUMARI,T2408191336341585273396,423209816776,Debit,501.0,Personal Transfers,2024,2024-08
"Aug 19, 2024",01:47 PM,Paid to ANTHONY S,T2408191347521951941510,423253391201,Debit,70.0,Personal Transfers,2024,2024-08
"Aug 22, 2024",04:17 PM,Paid to Srujan Samal,T2408221616581832946303,460115148571,Debit,15.0,Personal Transfers,2024,2024-08
"Aug 24, 2024",11:45 PM,Paid to K C SURESH SOF CHUDAMADAIAH,T2408242345131319092474,423768033378,Debit,20.0,Personal Transfers,2024,2024-08
"Aug 26, 2024",01:22 PM,Paid to Gaythri Hotel,T2408261322173175372873,460595508343,Debit,145.0,Food & Dining,2024,2024-08
"Aug 26, 2024",01:28 PM,Paid to Saumik Keshari,T2408261328179181839204,141735497800,Debit,60.0,Personal Transfers,2024,2024-08
"Aug 26, 2024",06:28 PM,Paid to BMRC,T2408261828440276161187,423917020830,Debit,106.4,Transport & Fuel,2024,2024-08
"Aug 26, 2024",08:00 PM,Paid to Saumik Keshari,T2408262000470494241000,653416221549,Debit,115.0,Personal Transfers,2024,2024-08
"Aug 27, 2024",10:36 AM,Paid to HARISP,T2408271036150345853406,424075508803,Debit,20.0,Personal Transfers,2024,2024-08
"Aug 28, 2024",03:55 PM,Paid to HARISP,T2408281555356018135340,424183524240,Debit,14.0,Personal Transfers,2024,2024-08
"Aug 28, 2024",04:00 PM,Paid to HARISP,T2408281600144294849922,424197993647,Debit,20.0,Personal Transfers,2024,2024-08
"Aug 31, 2024",02:16 PM,Paid to VARA LAKSHMI B,T2408311416496763140693,424472350223,Debit,65.0,Personal Transfers,2024,2024-08
"Aug 31, 2024",02:24 PM,Paid to Manglore fresh,AC222408311424213036264185,461045852901,Debit,311.0,Groceries & Essentials,2024,2024-08
"Aug 31, 2024",02:44 PM,Paid to INDRAJIT SATYENDRA PRASAD,T2408311444076098309387,424495914634,Debit,442.0,Personal Transfers,2024,2024-08
"Sep 01, 2024",09:08 PM,Paid to M KISHORE JAIN,T2409012108142388000909,424549823628,Debit,50.0,Personal Transfers,2024,2024-09
"Sep 03, 2024",03:28 PM,Paid to VIMALESH KUMAR,T2409031528305172063909,424789515695,Debit,60.0,Personal Transfers,2024,2024-09
"Sep 06, 2024",09:35 AM,Paid to Aruna,T2409060935313596513881,425068807660,Debit,7000.0,Personal Transfers,2024,2024-09
"Sep 07, 2024",12:42 AM,Paid to AMREEN TAJ,T2409070042009338516645,719538588536,Debit,40.0,Personal Transfers,2024,2024-09
"Sep 07, 2024",10:28 AM,Paid to SUNITHA SUNITHA,T2409071028127833980204,425191187428,Debit,10.0,Personal Transfers,2024,2024-09
"Sep 08, 2024",06:33 PM,Paid to Chandanan Kumar,AC222409081833013219084031,461814709220,Debit,10.0,Personal Transfers,2024,2024-09
"Sep 08, 2024",09:27 PM,Paid to t Chidambar hegde,T2409082127389877083526,425269736146,Debit,10.0,Personal Transfers,2024,2024-09
"Sep 08, 2024",09:29 PM,Paid to MUBEEN TAJ,T2409082129212186528777,425226386863,Debit,20.0,Personal Transfers,2024,2024-09
"Sep 12, 2024",01:36 PM,Paid to Shaadi ki biryani,AC222409121336520814330638,462204572054,Debit,50.0,Food & Dining,2024,2024-09
"Sep 13, 2024",01:47 PM,Paid to User,T2409131347015152367396,462354290803,Debit,100.0,Personal Transfers,2024,2024-09
"Sep 14, 2024",02:45 PM,Paid to Chandanan Kumar,AC222409141445353563842692,462485208134,Debit,25.0,Personal Transfers,2024,2024-09
"Sep 16, 2024",08:23 AM,Paid to VARA LAKSHMI B,T2409160823499672920107,426013825556,Debit,25.0,Personal Transfers,2024,2024-09
"Sep 19, 2024",01:28 PM,Paid to Saumik Keshari,T2409191328039438391542,462903000096,Debit,30.0,Personal Transfers,2024,2024-09
"Sep 19, 2024",07:25 PM,Paid to SJ STORE,T2409191925526203857964,426370714991,Debit,24.0,Personal Transfers,2024,2024-09
"Sep 19, 2024",07:31 PM,Paid to Nagendra Stores,AC222409191931547966951691,462962653783,Debit,55.0,Personal Transfers,2024,2024-09
"Sep 19, 2024",07:34 PM,Paid to Hassan Iyangar Bakery,AC222409191934512806340925,462985910865,Debit,65.0,Food & Dining,2024,2024-09
"Sep 19, 2024",09:27 PM,Paid to Juice Bar,T2409192127568298232844,426350700128,Debit,40.0,Food & Dining,2024,2024-09
"Sep 20, 2024",10:36 PM,Paid to KRISHNA KSHETRI,T2409202236339627673890,426402712674,Debit,150.0,Personal Transfers,2024,2024-09
"Sep 20, 2024",10:38 PM,Paid to Mangalore fresh,AC222409202238557025950388,463028897304,Debit,78.0,Groceries & Essentials,2024,2024-09
"Sep 21, 2024",10:11 AM,Paid to purti jain,T2409211011273353048168,463184337025,Debit,1357.0,Personal Transfers,2024,2024-09
"Sep 25, 2024",09:01 PM,Paid to Juice Bar,T2409252101441993080120,426990253029,Debit,40.0,Food & Dining,2024,2024-09
"Sep 26, 2024",01:47 PM,Paid to Shaadi ki biryani,AC222409261347533305447791,463645369866,Debit,80.0,Food & Dining,2024,2024-09
"Sep 26, 2024",10:33 PM,Paid to Srujan Samal,T2409262233161528526296,463674797344,Debit,72.0,Personal Transfers,2024,2024-09
"Sep 28, 2024",07:36 PM,Paid to MORNING STAR BOMBAY SALOON,T2409281936310728093022,427251106324,Debit,120.0,Food & Dining,2024,2024-09
"Sep 28, 2024",07:41 PM,Paid to Mangalore fresh,AC222409281941319598196322,463848542103,Debit,120.0,Groceries & Essentials,2024,2024-09
"Sep 29, 2024",09:44 PM,Paid to SRI DURGA PARMESHWARI CONDIMENTS,AC222409292144044133135523,463973032564,Debit,20.0,Groceries & Essentials,2024,2024-09
"Sep 30, 2024",10:58 PM,Paid to Mamtha medical,AC222409302257595889434811,464021176059,Debit,14.0,Medical & Health,2024,2024-09
"Oct 02, 2024",01:31 PM,Paid to kalluri mallikarjuna,T2410021330597798521758,464257965228,Debit,7000.0,Personal Transfers,2024,2024-10
"Oct 02, 2024",06:51 PM,Paid to Manu Marketing,AC222410021851419358494508,464264019507,Debit,5.0,Personal Transfers,2024,2024-10
"Oct 03, 2024",08:46 AM,Paid to rohith,T2410030846396559642039,464341049108,Debit,5.0,Personal Transfers,2024,2024-10
"Oct 05, 2024",08:23 AM,Paid to AJAY KUMAR G,T2410050823488904084768,427953232080,Debit,50.0,Personal Transfers,2024,2024-10
"Oct 05, 2024",09:10 AM,Paid to RAVI .,T2410050910372204312246,427988899746,Debit,50.0,Personal Transfers,2024,2024-10
"Oct 05, 2024",10:13 AM,Paid to Directorate of EDCS,T2410051013004708556161,427924045362,Debit,202.36,Personal Transfers,2024,2024-10
"Oct 06, 2024",02:50 PM,Paid to Amazon India,T2410061450175844683519,428024185006,Debit,555.32,Shopping & E-Commerce,2024,2024-10
"Oct 08, 2024",08:47 AM,Paid to BMTC BUS KA51AJ6651,T2410080847111314845589,330795959684,Debit,5.0,Transport & Fuel,2024,2024-10
"Oct 08, 2024",09:37 PM,Paid to KRISHNA KSHETRI,T2410082137518087818966,333802185349,Debit,200.0,Personal Transfers,2024,2024-10
"Oct 08, 2024",09:40 PM,Paid to Bhrama Lingeshwara,AC222410082140448815823077,814530370799,Debit,32.0,Food & Dining,2024,2024-10
"Oct 09, 2024",08:11 PM,Paid to Abdul Aziz,T2410092011225063135563,157507480186,Debit,124.0,Personal Transfers,2024,2024-10
"Oct 09, 2024",10:01 PM,Paid to soubhagya prusty,T2410092201299673864581,157371604046,Debit,130.0,Personal Transfers,2024,2024-10
"Oct 10, 2024",12:11 PM,Paid to Royal Mart Supermarket-Richmond Town C3,T2410101211400436632557,498420799511,Debit,69.0,Groceries & Essentials,2024,2024-10
"Oct 10, 2024",12:55 PM,Paid to VIJAYA KUMAR L,T2410101255279732597833,786005061293,Debit,50.0,Personal Transfers,2024,2024-10
"Oct 11, 2024",11:48 PM,Paid to **\*\***5557,T2410112348110989213210,433706642241,Debit,50.0,Personal Transfers,2024,2024-10
"Oct 12, 2024",10:49 PM,Paid to Tea Break Chiklane,AC222410122249268785823500,564763136603,Debit,20.0,Food & Dining,2024,2024-10
"Oct 15, 2024",06:29 PM,Paid to BMTC BUS KA51AJ7201,T2410151829288526700914,100311069447,Debit,20.0,Transport & Fuel,2024,2024-10
"Oct 18, 2024",06:34 PM,Paid to VARAHA CAFE,T2410181834525315885219,382048736741,Debit,80.0,Food & Dining,2024,2024-10
"Oct 18, 2024",07:54 PM,Paid to PITSTOP,T2410181954189342790671,862885168716,Debit,100.0,Personal Transfers,2024,2024-10
"Oct 25, 2024",09:50 PM,Paid to Juice Bar,T2410252150373924435866,199726629194,Debit,40.0,Food & Dining,2024,2024-10
"Oct 26, 2024",10:48 AM,Paid to SUNITHA SUNITHA,T2410261048252055059402,815035698541,Debit,40.0,Personal Transfers,2024,2024-10
"Oct 26, 2024",07:13 PM,Paid to Fruit shope,AC222410261913329604734632,809813315890,Debit,170.0,Food & Dining,2024,2024-10
"Oct 26, 2024",10:33 PM,Paid to Ankit Kumar,T2410262233279675048834,843511264431,Debit,2000.0,Personal Transfers,2024,2024-10
"Nov 01, 2024",06:01 PM,Paid to GOBAR RAM,T2411011801305248533263,34547245818,Debit,60.0,Personal Transfers,2024,2024-11
"Nov 03, 2024",07:13 PM,Paid to purti jain,T2411031913407627378251,190246441584,Debit,1000.0,Personal Transfers,2024,2024-11
"Nov 04, 2024",10:55 AM,Paid to Richmond soft drinks,AC222411041055233197115402,619065452698,Debit,20.0,Food & Dining,2024,2024-11
"Nov 04, 2024",01:35 PM,Paid to Lavanya,T2411041335259092653420,922642255389,Debit,80.0,Personal Transfers,2024,2024-11
"Nov 05, 2024",09:30 AM,Paid to ALEN MATHEW,T2411050929595755737342,56191750443,Debit,20.0,Personal Transfers,2024,2024-11
"Nov 05, 2024",09:35 AM,Paid to sreedhar,T2411050935502251298395,794936323616,Debit,5.0,Personal Transfers,2024,2024-11
"Nov 05, 2024",11:01 AM,Paid to kalluri mallikarjuna,T2411051101210067402762,544902504245,Debit,7000.0,Personal Transfers,2024,2024-11
"Nov 05, 2024",01:49 PM,Paid to GAUTAM,T2411051349360813389418,624241846556,Debit,60.0,Personal Transfers,2024,2024-11
"Nov 08, 2024",10:01 PM,Paid to Abdul Aziz,T2411082201202639781877,391901216494,Debit,100.0,Personal Transfers,2024,2024-11
"Nov 10, 2024",07:15 AM,Paid to MURALIDHARA G M,T2411100715528702601385,748088360953,Debit,120.0,Personal Transfers,2024,2024-11
"Nov 10, 2024",09:22 AM,Paid to ISHA FOUNDATION,T2411100922269086905417,855633059239,Debit,20.0,Personal Transfers,2024,2024-11
"Nov 10, 2024",01:27 PM,Paid to BMTC BUS KA01F9003,T2411101327436459640305,700046369300,Debit,40.0,Transport & Fuel,2024,2024-11
"Nov 11, 2024",01:35 PM,Paid to Shaadi ki biryani,AC222411111335410594636341,255275740702,Debit,180.0,Food & Dining,2024,2024-11
"Nov 12, 2024",07:05 PM,Paid to Sushil Pan Shop,AC222411121905105180945292,403512980999,Debit,12.0,Groceries & Essentials,2024,2024-11
"Nov 14, 2024",01:26 PM,Paid to MD GULSHAD ALTAMASH,T2411141326383321368266,780870107421,Debit,50.0,Personal Transfers,2024,2024-11
"Nov 14, 2024",04:12 PM,Paid to VIMALESH KUMAR,T2411141612418993389825,217518499811,Debit,60.0,Personal Transfers,2024,2024-11
"Nov 16, 2024",07:50 PM,Paid to purti jain,T2411161950364362111851,942727048783,Debit,500.0,Personal Transfers,2024,2024-11
"Nov 17, 2024",05:44 PM,Paid to Sri Brahmalingeswara juice and condiments,T2411171743595786213930,618997803113,Debit,48.0,Food & Dining,2024,2024-11
"Nov 19, 2024",10:34 PM,Paid to SRI BRAHMALINGESHWARA BAKERY,T2411192234346969795326,537459491309,Debit,40.0,Food & Dining,2024,2024-11
"Nov 21, 2024",01:29 PM,Paid to Abdul Aziz,T2411211329484256036882,18413334325,Debit,50.0,Personal Transfers,2024,2024-11
"Nov 23, 2024",12:41 AM,Paid to MANJUNATH H M,T2411230041140679646231,346657325168,Debit,50.0,Personal Transfers,2024,2024-11
"Nov 23, 2024",09:50 PM,Paid to STAR BAZAAR,T2411232150216231939390,685122978172,Debit,85.0,Groceries & Essentials,2024,2024-11
"Nov 24, 2024",08:31 PM,Paid to Abdul Aziz,T2411242031012801210916,722686375006,Debit,500.0,Personal Transfers,2024,2024-11
"Nov 25, 2024",05:26 PM,Paid to VIMALESH KUMAR,T2411251726326548077822,419584487469,Debit,90.0,Personal Transfers,2024,2024-11
"Nov 27, 2024",01:34 PM,Paid to Srujan Samal,T2411271334533510663380,711159839373,Debit,40.0,Personal Transfers,2024,2024-11
"Nov 29, 2024",10:31 PM,Paid to INDRAJIT SATYENDRA PRASAD,T2411292231148707779573,216151897321,Debit,385.0,Personal Transfers,2024,2024-11
"Nov 30, 2024",10:04 AM,Paid to BMTC BUS KA57F1779,T2411301004272139589773,911419579233,Debit,245.0,Transport & Fuel,2024,2024-11
"Nov 30, 2024",06:23 PM,Paid to Pappu Nishad,AC222411301823163870679830,863051170744,Debit,25.0,Food & Dining,2024,2024-11
"Nov 30, 2024",06:27 PM,Paid to Pappu Nishad,AC222411301827183357368374,650812720203,Debit,10.0,Food & Dining,2024,2024-11
"Nov 30, 2024",06:49 PM,Paid to KRISHNA KSHETRI,T2411301849212007698039,398169968091,Debit,60.0,Personal Transfers,2024,2024-11
"Nov 30, 2024",11:08 PM,Paid to Amazon Bill Pay,APL01937e27274faceea3684a0e1eff1912,433540455370,Debit,99.0,Shopping & E-Commerce,2024,2024-11
"Dec 01, 2024",12:00 PM,Paid to Myntra,OM2412011200045244084990D,762898371836,Debit,408.0,Shopping & E-Commerce,2024,2024-12
